player_name,slug,team,profile_id,headshot_id,image_filename,image_url,status
Shamar Joseph,shamar-joseph,,20719,3105,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3105.png,linked
Shardul Thakur,shardul-thakur,mumbai-indians,1745,105,shardul-thakur_105.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/105.png,downloaded
Shashank Singh,shashank-singh,punjab-kings,3261,191,shashank-singh_191.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/191.png,downloaded
Shemaron Hetmyer,shimron-hetmyer,rajasthan-royals,1705,210,shimron-hetmyer_210.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/210.png,alias
Sherfane Rutherford,sherfane-rutherford,mumbai-indians,5396,122,sherfane-rutherford_122.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/122.png,downloaded
Shimron Hetmyer,shimron-hetmyer,rajasthan-royals,1705,210,shimron-hetmyer_210.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/210.png,downloaded
Shivam Dube,shivam-dube,chennai-super-kings,5431,211,shivam-dube_211.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/211.png,downloaded
Shivam Dubey,shivam-dube,chennai-super-kings,5431,211,shivam-dube_211.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/211.png,alias
Shivam Mavi,shivam-mavi,sunrisers-hyderabad,3779,154,shivam-mavi_154.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/154.png,downloaded
Shivam Shukla,shivam-shukla,,22386,,,,missing
Shivang Kumar,shivang-kumar,sunrisers-hyderabad,23006,4561,shivang-kumar_4561.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/4561.png,downloaded
Shivil Kaushik,,,,,,https://documents.iplt20.com/ipl/IPLHeadshot2026/Default-Men.png,manual
Shreyas Gopal,shreyas-gopal,chennai-super-kings,20696,192,shreyas-gopal_192.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/192.png,downloaded
Shreyas Iyer,shreyas-iyer,punjab-kings,1563,12,shreyas-iyer_12.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/12.png,downloaded
Shrijith Krishnan,shrijith-krishnan,,22057,3570,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3570.png,linked
Shubham Dubey,shubham-dubey,rajasthan-royals,20688,3112,shubham-dubey_3112.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/3112.png,downloaded
Shubhman Gill,shubman-gill,gujarat-titans,3761,62,shubman-gill_62.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/62.png,alias
Shubman Gill,shubman-gill,gujarat-titans,3761,62,shubman-gill_62.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/62.png,downloaded
Simarjeet Singh,simarjeet-singh,,10789,622,,https://documents.iplt20.com/ipl/IPLHeadshot2025/622.png,linked
Smaran Ravichandran,smaran-ravichandran,sunrisers-hyderabad,22378,3752,smaran-ravichandran_3752.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/3752.png,downloaded
Spencer Johnson,spencer-johnson,chennai-super-kings,20699,2518,spencer-johnson_2518.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/2518.png,downloaded
Stuart Binny,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Stuart_Binny_%282019%29.jpg/330px-Stuart_Binny_%282019%29.jpg,manual
Sunil Narein,sunil-narine,kolkata-knight-riders,203,156,sunil-narine_156.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/156.png,alias
Sunil Narine,sunil-narine,kolkata-knight-riders,203,156,sunil-narine_156.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/156.png,downloaded
Surya Kumar Yadav,surya-kumar-yadav,mumbai-indians,108,174,surya-kumar-yadav_174.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/174.png,downloaded
Suryansh Shedge,suryansh-shedge,punjab-kings,20683,2146,suryansh-shedge_2146.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/2146.png,downloaded
Sushant Mishra,sushant-mishra,rajasthan-royals,20695,1016,sushant-mishra_1016.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/1016.png,downloaded
Suyash Sharma,suyash-sharma,royal-challengers-bengaluru,5668,1932,suyash-sharma_1932.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/1932.png,downloaded
Swapnil Singh,swapnil-singh,royal-challengers-bengaluru,3180,1483,swapnil-singh_1483.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/1483.png,downloaded
Swastik Chhikara,swastik-chhikara,,20711,3102,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3102.png,linked
T Natarajan,t-natarajan,delhi-capitals,3831,224,t-natarajan_224.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/224.png,downloaded
Tejasvi Singh,tejasvi-singh,kolkata-knight-riders,23013,4281,tejasvi-singh_4281.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/4281.png,downloaded
Tilak Verma,n-tilak-varma,mumbai-indians,20594,993,n-tilak-varma_993.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/993.png,alias
Tim David,tim-david,royal-challengers-bengaluru,4524,636,tim-david_636.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/636.png,downloaded
Tim Seifert,tim-seifert,kolkata-knight-riders,1619,82,tim-seifert_82.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/82.png,downloaded
